#,Qty,Reference,Value,Description
1,1,A1,Arduino_UNO_R3,"Arduino UNO Microcontroller Module, release 3"
2,1,C1,1u,Unpolarized capacitor
3,4,"C2,C3,C4,C5",0.1u,Unpolarized capacitor
4,1,DS1,WC1602A,"LCD 16x2 Alphanumeric , 8 bit parallel bus, 5V VDD"
5,1,J1,Arduino_Digital_0_7,01x08 2.54mm Pin Headers
6,1,J2,Arduino_Digital_8_13,01x10 2.54mm Pin Headers
7,1,J3,Arduino_Power,01x08 2.54mm Pin Headers
8,1,J4,Arduino_Analog_IN,01x06 2.54mm Pin Headers
9,4,"J5,J6,J7,J8",Conn_01x02_Pin,01x02 2.54mm Pin Headers
10,2,"LD1,LD2",LASER-650NM,"Laser diode, cathode on pin 1, anode on pin 2"
11,2,"Q1,Q2",PT928-6C-F,"NPN phototransistor, collector/emitter"
12,2,"Q3,Q4",2N3904,"0.2A Ic, 40V Vce, Small Signal NPN Transistor, TO-92"
13,1,R1,220,Resistor
14,2,"R2,R3",100k,Resistor
15,4,"R4,R5,R7,R8",1k,Resistor
16,2,"R6,R9",100,Resistor
17,1,RV1,10k,Potentiometer
18,3,"U1,U2,U3",SPST-NO Switch,6mm x 6mm Tactile Switch
